id	source	dest	area
34	3	4	50315
13	1	3	63510
42	4	2	58580
47	4	7	153120
67	6	7	59015
65	6	5	51185
58	5	8	183744
710	7	10	153120
98	9	8	99528
811	8	11	122496
1014	10	14	160776
1312	13	12	56985
1314	13	14	58870
1112	11	12	114840
1215	12	15	137808
1417	14	17	176088
1615	16	15	58580
1617	16	17	67570
1518	15	18	137808
1720	17	20	145464
1918	19	18	55825
1920	19	20	71485
1823	18	23	290928
2022	20	22	206712
2122	21	22	99528
2423	24	23	57420
2227	22	27	99528
2325	23	25	50895
2625	26	25	51910
2627	26	27	58580
2839	28	39	145464
3940	39	40	62205
3941	39	41	91872
4042	40	42	84216
4143	41	43	56260
4245	42	45	60755
4344	43	44	38860
4546	45	46	36830
4345	43	45	55535
4446	44	46	52200
4051	40	51	206712
4552	45	52	122496
4653	46	53	283272
5253	52	53	114840
5255	52	55	91872
53159	53	159	52780
15959	159	59	222024
5455	54	55	61045
5451	54	51	56260
5156	51	56	130152
5558	55	58	145464
3029	30	29	137808
3130	31	30	153120
3132	31	32	42195
3331	33	31	114840
3134	31	34	73950
733	7	33	237336
3334	33	34	36975
3436	34	36	52925
3637	36	37	46255
3738	37	38	67425
37134	37	134	67425
36133	36	133	176088
38132	38	132	62060
135136	135	136	56550
134133	134	133	42630
13650	136	50	107184
13448	134	48	122496
13347	133	47	122496
4950	49	50	58145
4948	49	48	68150
4847	48	47	43645
5056	50	56	214368
4872	48	72	229680
4780	47	80	244992
5664	56	64	61625
6472	64	72	67860
7280	72	80	49010
5756	57	56	56550
7372	73	72	55390
8180	81	80	59015
5758	57	58	58290
7374	73	74	58290
8182	81	82	56260
5866	58	66	84216
7466	74	66	58145
8274	82	74	43065
80138	80	138	176088
8586	85	86	34365
83138	83	138	58290
8384	83	84	56840
13885	138	85	84216
8786	87	86	84216
8788	87	88	57275
8691	86	91	283127
8990	89	90	74675
9291	92	91	54230
9293	92	93	59015
9893	98	93	206712
9495	94	95	52200
9496	94	96	84216
9597	95	97	76560
9698	96	98	60755
9799	97	99	84216
99101	99	101	36830
9998	99	98	58145
98100	98	100	32335
101100	101	100	55535
9390	93	90	168432
9088	90	88	114840
8884	88	84	137808
8482	84	82	160776
5859	58	59	84216
5960	59	60	153120
6759	67	59	153120
6775	67	75	58290
7568	75	68	84216
7576	75	76	114840
6860	68	60	114840
6061	60	61	15370
76130	76	130	62495
77131	77	131	60175
7677	76	77	46255
6162	61	62	59015
7778	77	78	114840
6263	62	63	74530
7879	78	79	49735
7062	70	62	91872
7078	70	78	62205
7163	71	63	84216
7179	71	79	49010
63106	63	106	58290
79112	79	112	64235
115111	115	111	45385
115117	115	117	61190
111110	111	110	45095
110109	110	109	45095
109108	109	108	45095
108107	108	107	45095
105103	105	103	130152
103102	103	102	56550
105104	105	104	54230
128139	128	139	47560
127139	127	139	54230
139125	139	125	160776
125123	125	123	114840
126125	126	125	76270
124123	124	123	70325
123121	123	121	275616
121113	121	113	153120
11379	113	79	59015
122121	122	121	54955
114113	114	113	74675
112117	112	117	183744
117119	117	119	35090
117118	117	118	84216
119120	119	120	107184
120122	120	122	76560
118116	118	116	55390
129128	129	128	47560
6961	69	61	76560
6977	69	77	59015
7574	75	74	59015
13076	130	76	62495
13177	131	77	60175
82140	82	140	40890
75140	75	140	37700
140130	140	130	130152
130131	130	131	46980
131141	131	141	130152
78141	78	141	43065
141113	141	113	40745
141142	141	142	581856
142143	142	143	137808
143144	143	144	18560
144145	144	145	40890
142146	142	146	55245
146147	146	147	137808
147144	147	144	52925
143139	143	139	20880
145128	145	128	25520
140160	140	160	176088
160161	160	161	69165
161162	161	162	91785
162148	162	148	237336
148100	148	100	214368
14893	148	93	39875
61149	61	149	76560
149150	149	150	122496
150151	150	151	62060
151152	151	152	84216
15263	152	63	137808
102151	102	151	54810
104152	104	152	63075
119153	119	153	35090
120154	120	154	34945
118155	118	155	61770
27156	27	156	40310
15628	156	28	41760
9165	91	65	91901
6594	65	94	130152
105157	105	157	31175
157107	157	107	2610
13214	132	14	84216
136132	136	132	206712
134135	134	135	67860
149158	149	158	65975
2128	21	28	199056
163164	163	164	168432
2039	20	39	260304
33165	33	165	67860
16537	165	37	51765
166167	166	167	137808
9697	96	97	112280
9296	92	96	428736
8992	89	92	384384
8789	87	89	143080
8387	83	87	251328
8183	81	83	310464
7381	73	81	89600
3573	35	73	141960
5735	57	35	131040
5457	54	57	266112
4254	42	54	413952
4142	41	42	112280
127129	127	129	98120
126127	126	127	325248
124126	124	126	162624
122124	122	124	360096
114122	114	122	139392
112114	112	114	111980
137112	137	112	93060
106137	106	137	116160
104106	104	106	313632
102104	102	104	93060
12	1	2	88220
26	2	6	232320
69	6	9	174240
913	9	13	302016
1316	13	16	209088
1619	16	19	209088
1921	19	21	255552
2124	21	24	185856
2426	24	26	85800
910	9	10	108900
1038	10	38	220704
38135	38	135	278784
13549	135	49	185856
4964	49	64	325248
6435	64	35	95480
3566	35	66	88440
6667	66	67	127776
6768	67	68	75900
6968	69	68	162624
6970	69	70	139392
7071	70	71	89540
71137	71	137	89540
137115	137	115	418176
115116	115	116	127776
122114	122	114	139392
