id	latitude	longitude
A1	44.88062	-93.20071
A2	44.88023	-93.20027
A3	44.88011	-93.19999
A4	44.87999	-93.19970
A5	44.87986	-93.19941
A6	44.87974	-93.19912
A7	44.87963	-93.19886
A8	44.87950	-93.19858
A9	44.87938	-93.19829
A10	44.87927	-93.19803
A11	44.87915	-93.19768
A12	44.87906	-93.19737
A13	44.87898	-93.19707
A14	44.87889	-93.19677
B1	44.88094	-93.19980
B2	44.88112	-93.19970
B3	44.88083	-93.19952
B4	44.88099	-93.19939
B5	44.88071	-93.19922
B6	44.88085	-93.19908
B7	44.88059	-93.19895
B8	44.88072	-93.19877
B9	44.88046	-93.19867
B10	44.88057	-93.19844
B11	44.88034	-93.19838
B12	44.88045	-93.19815
B13	44.88023	-93.19811
B14	44.88031	-93.19784
B15	44.88010	-93.19782
B16	44.88017	-93.19753
C1	44.88466	-93.20959
C2	44.88447	-93.20915
C3	44.88430	-93.20876
C4	44.88415	-93.20825
C5	44.88402	-93.20791
C6	44.88386	-93.20749
C7	44.88372	-93.20714
C8	44.88355	-93.20673
C9	44.88341	-93.20633
C10	44.88324	-93.20590
C11	44.88307	-93.20552
C12	44.88269	-93.20518
C13	44.88245	-93.20452
C14	44.88228	-93.20409
C15	44.88219	-93.20388
C16	44.88203	-93.20357
C17	44.88182	-93.20316
C18	44.88177	-93.20304
C19	44.88156	-93.20267
C20	44.88150	-93.20250
C21	44.88144	-93.20240
C22	44.88119	-93.20188
C23	44.88116	-93.20181
C24	44.88105	-93.20154
C25	44.88094	-93.20125
C26	44.88087	-93.20112
C27	44.88085	-93.20106
D1	44.88520	-93.21041
D2	44.88538	-93.21060
D3	44.88545	-93.21049
D4	44.88551	-93.21029
D5	44.88530	-93.20979
D6	44.88509	-93.20986
E1	44.88442	-93.21200
E2	44.88469	-93.21166
E3	44.88473	-93.21247
E4	44.88486	-93.21193
E5	44.88489	-93.21271
E6	44.88522	-93.21254
E7	44.88512	-93.21301
E8	44.88555	-93.21306
E9	44.88524	-93.21319
E10	44.88564	-93.21303
E11	44.88541	-93.21375
E12	44.88580	-93.21329
E13	44.88551	-93.21392
E14	44.88584	-93.21333
E15	44.88569	-93.21380
E16	44.88585	-93.21362
F1	44.88329	-93.21305
F2	44.88300	-93.21333
F3	44.88334	-93.21334
F4	44.88317	-93.21397
F5	44.88354	-93.21413
F6	44.88329	-93.21450
F7	44.88369	-93.21475
F8	44.88346	-93.21508
F9	44.88379	-93.21517
F10	44.88363	-93.21574
F11	44.88392	-93.21568
F12	44.88361	-93.21600
F13	44.88401	-93.21602
F14	44.88366	-93.21623
F15	44.88393	-93.21618
F16	44.88383	-93.21624
G1	44.88220	-93.21316
G2	44.88208	-93.21321
G3	44.88202	-93.21311
G4	44.88189	-93.21277
G5	44.88174	-93.21241
G6a	44.88171	-93.21234
G6b	44.88132	-93.21146
G7	44.88133	-93.21148
G8	44.88116	-93.21103
G9	44.88122	-93.21050
G10	44.88114	-93.21034
G11	44.88073	-93.20967
G12	44.88062	-93.20938
G13	44.88054	-93.20918
G14	44.88018	-93.20839
G15	44.88005	-93.20805
G17	44.87963	-93.20707
G18	44.87952	-93.20683
G19	44.87943	-93.20658
G20	44.87937	-93.20643
G21	44.87932	-93.20622
G22	44.87951	-93.20612
H1	44.87339	-93.22991
H2	44.87346	-93.22976
H3	44.87358	-93.22950
H4	44.87375	-93.22924
H5	44.87403	-93.22890
H6	44.87444	-93.22838
H7	44.87474	-93.22787
H8	44.87499	-93.22755
H9	44.87525	-93.22720
H10	44.87554	-93.22676
H11	44.87578	-93.22652
H12	44.87599	-93.22606
H13	44.87622	-93.22577
H14	44.87618	-93.22560
