id	latitude	longitude
1	44.86629	-93.23698
2	44.86739 	-93.23698
3	44.86661	-93.23535
4	44.86756	-93.23544
5	44.87013	-93.23907
6	44.87019	-93.23771
7	44.87041	-93.23617
8	44.87130	-93.2396
9	44.87228	-93.23825
10	44.87325	-93.23691
11	44.87360	-93.2402
12	44.87581	-93.24073
13	44.87601	-93.23924
14	44.87617	-93.23769
15	44.87835	-93.24140
16	44.87857	-93.23987
17	44.87944	-93.23855
18	44.88094	-93.24204
19	44.88114	-93.24058
20	44.88210	-93.23924
21	44.88428	-93.24139
22	44.88591	-93.24023
23	44.88635	-93.24346
24	44.88653	-93.24195
25	44.88731	-93.24357
26	44.88758	-93.24224
27	44.88780	-93.24071
28	44.88756	-93.23862
29	44.86589	-93.23164
30	44.86853	-93.23164
31	44.87140	-93.2317
32	44.87060	-93.2317
33	44.87190	-93.2339
34	44.87320	-93.2317
35	44.88310	-93.2232
36	44.87380	-93.2318
37	44.87440	-93.2327
38	44.87520	-93.2341
39	44.88620	-93.2353
40	44.88570	-93.2338
41	44.88770	-93.2340
42	44.88710	-93.2327
43	44.88860	-93.2332
44	44.88920	-93.2326
45	44.88810	-93.2319
46	44.88870	-93.2314
47	44.87790	-93.2263
48	44.87850	-93.2271
49	44.87940	-93.2284
50	44.88000	-93.2297
51	44.88410	-93.2287
52	44.88690	-93.2292
53	44.88770	-93.2288
54	44.88500	-93.2279
55	44.88601	-93.22711
56	44.88283	-93.22568
57	44.88370	-93.2248
58	44.88460	-93.2239
59	44.88570	-93.2224
60	44.88780	-93.2195
61	44.88800	-93.2192
62	44.88925	-93.21744
63	44.88980	-93.2167
64	44.88220	-93.2243
65	44.87420	-93.2067
66	44.88380	-93.2220
67	44.88490	-93.2205
68	44.88560	-93.2196
69	44.88700	-93.2176
70	44.88820	-93.2159
71	44.88900	-93.2148
72	44.88160	-93.2227
73	44.88230	-93.2216
74	44.88320	-93.2207
75	44.88400	-93.2196
76	44.88560	-93.21737
77	44.88627	-93.21645
78	44.88770	-93.2144
79	44.88850	-93.2137
80	44.88110	-93.2216
81	44.88190	-93.2205
82	44.88280	-93.2197
83	44.88027	-93.21686
84	44.88120	-93.2161
85	44.87853	-93.21573
86	44.87819	-93.21495
87	44.87899	-93.21383
88	44.87990	-93.2130
89	44.87820	-93.2122
90	44.87880	-93.2104
91	44.87540	-93.2084
92	44.87630	-93.2077
93	44.87710	-93.2066
94	44.87280	-93.2039
95	44.87230	-93.2027
96	44.87410	-93.2027
97	44.87350	-93.2014
98	44.87510	-93.2019
99	44.87450	-93.2006
100	44.87560	-93.2014
101	44.87510	-93.2001
102	44.89280	-93.2209
103	44.89360	-93.22005
104	44.89228	-93.21947
105	44.89328	-93.21882
106	44.89050	-93.21539
107	44.89240	-93.2159
108	44.89240	-93.2148
109	44.89240	-93.2138
110	44.89240	-93.2126
111	44.89240	-93.2114
112	44.88920	-93.2123
113	44.88790	-93.2124
114	44.88850	-93.2106
115	44.89230	-93.2102
116	44.89340	-93.2085
117	44.89160	-93.2089
118	44.89270	-93.2074
119	44.89100	-93.2085
120	44.88900	-93.2085
121	44.88650	-93.2089
122	44.88750	-93.2085
123	44.88380	-93.2027
124	44.88510	-93.2031
125	44.88260	-93.2001
126	44.88400	-93.2006
127	44.88190	-93.1957
128	44.88060	-93.1950
129	44.88130	-93.1942
130	44.88511	-93.21663
131	44.88576	-93.21573
132	44.87566	-93.23562
133	44.87621	-93.22863
134	44.87679	-93.22942
135	44.87771	-93.23068
136	44.87850	-93.2317
137	44.88980	-93.2137
138	44.87930	-93.2176
139	44.88100	-93.1964
140	44.88341	-93.21903
141	44.88747	-93.21330
142	44.88197	-93.19979
143	44.88065	-93.19666
144	44.88044	-93.19626
145	44.88015	-93.19525
146	44.88098	-93.20027
147	44.87963	-93.19709
148	44.87780	-93.2062
149	44.88947	-93.21962
150	44.89083	-93.22230
151	44.89191	-93.22165
152	44.89112	-93.21975
153	44.89106	-93.20757
154	44.88903	-93.20757
155	44.89313	-93.20587
156	44.88788	-93.23964
157	44.89241	-93.21673
158 44.88881	-93.21813
159	44.88780	-93.2274
160	44.88160	-93.2150
161	44.88050	-93.2140
162 44.88010	-93.2117
163	44.88440	-93.2398
164	44.88700	-93.2372
165	44.87360	-93.2335
166	44.88389	-93.21237
167	44.88506	-93.21558
