id	source	dest	area
12	1	2	82539.68250
34	3	4	41269.84125
13	1	3	41269.84125
42	4	2	41269.84125
26	2	6	182247.6190
47	4	7	91123.80945
67	6	7	41269.84125
65	6	5	41269.84125
69	6	9	148571.4285
58	5	8	49523.80929
710	7	10	90793.65075
910	9	10	99047.61857
98	9	8	49523.90929
811	8	11	74285.71425
913	9	13	239365.0793
1014	10	14	90793.65075
1312	13	12	41269.84125
1314	13	14	41269.84125
1316	13	16	165079.3650
1112	11	12	74285.71425
1215	12	15	74285.71425
1417	14	17	99047.61900 
1615	16	15	41269.84125
1617	16	17	41269.84125
1518	15	18	74285.71425
1720	17	20	74285.71425
1619	16	19	165079.3650
1918	19	18	41269.84125
1920	19	20	41269.84125
1921	19	21	239365.0793
1823	18	23	169206.3491
2122	21	22	41269.84125
2124	21	24	107301.5868 
2423	24	23	41269.84125
2426	24	26	107301.5873
2227	22	27	78412.69838 
2325	23	25	41269.84125
2625	26	25	41269.84125
2627	26	27	41269.84125
2728	27	28	57777.77750
2839	28	39	94920.63446 
3940	39	40	33015.87286 
3941	39	41	49523.80950 
4042	40	42	49523.80950
4143	41	43	41269.84125
4245	42	45	41269.84125
4142	41	42	66031.746 
4344	43	44	33015.87286
4546	45	46	33015.87286
4345	43	45	33015.87286
4446	44	46	33015.87286
4051	40	51	132063.492
4254	42	54	264126.984 
4552	45	52	74285.71425
4653	46	53	74285.71425
5253	52	53	33015.87286
5255	52	55	74285.71425
5359	53	59	330158.7286
5455	54	55	41269.84125
5451	54	52	41269.84125
5156	51	56	82539.6825 
5457	54	57	165079.365
5558	55	58	82539.6825
3029	30	29	82539.6825
3130	31	30	82539.6825
3132	31	32	8253.96825
3331	33	31	37142.85713
3234	32	34	53650.79363
733	7	33	103174.6031
3334	33	34	8253.96825
1038	10	38	198095.2371
3436	34	36	33015.87286
3637	36	37	24761.09475
3738	37	38	49523.80950
38135	38	135	206349.2063
37134	37	134	103174.6031
36133	36	133	103174.6031
38132	38	132	24761.90475
135136	135	136	24761.90475
136134	136	134	49523.80950
134133	134	133	24761.09475
13650	136	50	90793.65075
13549	135	49	181587.3015
13448	134	48	90793.65075
13347	133	47	90793.65075
4950	49	50	41269.84125
4948	49	48	41269.84125
4847	48	47	24761.09475
5056	50	56	119682.5391
4964	49	64	255873.0146
4872	48	72	140317.4603
4780	47	80	160952.3809
5664	56	64	41269.84125
6472	64	72	45396.82538
7280	72	80	41269.84125
5756	57	56	41269.84125
6435	64	35	82539.6825
7372	73	72	41269.84125
8180 	81	80	41269.84125
5758	57	58	41269.84125
3566	35	66	82539.6825
7374	73	74	41269.84125
8182	81	82	41269.84125
5735	57	35	82539.6825	
3573	35	73	82539.6825
7381	73	81	82539.6825
5866	58	66	53650.79339
7466	74	66	33015.87286 
8274	82	74	33015.87386
8082	80	82	99047.619
8285	82	85	53650.79363
8586	85	86	37142.85713
8183	81	83	181587.3015
8387	83	87	173333.3333
8789	87	89	99047.619
8382	83	82	41269.84125
8384	83	84	41269.84125
8285	82	85	53650.79339
8786	87	86	41269.84125
8788	87	88	41269.84125
8691	86	91	160952.3809
8990	89	90	41269.84125
8992	89	92	231111.111
9291	92	91	41269.84125
9293	92	93	41269.84125
9194	91	94	140317.4603
9296	92	96	272380.9523
9893	98	93	119682.5396
9495	94	95	41269.84125
9496	94	96	57777.77775
9597	95	97	57777.77775
9697	96	97	82539.6825
9698	96	98	33015.873
9799	97	99	33015.873
99101	99	101	33015.873
9998	99	98	33015.873
98100	98	100	33015.873
101100	101	100	33015.873
9390	93	90	115555.55555
9088	90	88	61904.76188
8884	88	84	99047.619
8482	84	82	94920.63488
5859	58	59	53650.79363
5960	59	60	70158.37013
6667	66	67	107301.5873
6768	67	68	82539.68254
6759	67	59	49523.8095
6775	67	75	45396.82538
7568	75	68	49523.80950 
7576	75	76	66031.746
6860	68	60	66031.746
6061	60	61	41269.84125
7576	75	76	66031.746
76130	76	130	8253.96825
77131	77	131	8253.96825
7677	76	77	37142.85696
6162	61	62	61904.76161
6970	69	70	123809.5232
7778	77	78	61904.76161
6263	62	63	37142.85696
7071	70	71	74285.71425
7879	78	79	37142.85696
7062	70	62	49523.80950 
7078	70	78	45396.82517
7163	71	63	49523.80950 
7179	71	79	45396.82517
63106	63	106	37142.85696
79112	79	112	37142.85696
71137	71	137	74285.71392
137115	137	115	222867.1418
115116	115	116	115555.5555
115111	115	111	33015.87286 
115117	115	117	33015.87286 
111110	111	110	33015.87286 
110109	110	109	33015.87286 
109108	109	108	33015.87286 
108107	108	107	33015.87286 
107105	107	105	74285.71425
105103	105	103	33015.87286 
103102	103	102	41269.84125
105104	105	104	41269.84125
102104	102	104	90793.65075
104106	104	106	198095.238
106137	106	137	115555.5555
137112	137	112	82539.6825
112114	112	114	99047.619
114122	114	122	132063.492
122124	122	124	288888.8888
124126	124	126	132063.492
126127	126	127	247619.0476
127129	127	129	41269.84125
128126	128	126	41269.84125
127126	127	126	41269.84125
126125	126	125	94920.63488
125123	125	123	66031.746
126125	126	125	28888.88888
124123	124	123	28888.88888
123121	123	121	144444.4444
121113	121	113	82539.68214
11379	113	79	45396.82517
122121	122	121	37142.85696
114113	114	113	37142.85696
112117	112	117	111433.5709
117119	117	119	37142.85696
117118	117	118	57777.77775
119120	119	120	66031.74571
120122	120	122	57777.77775
